timestep,neuron Brick-0.0,neuron Brick-0.1,neuron Brick-0.2,neuron Brick-0.3,neuron Brick-0.4,neuron Brick-0.5,neuron Brick-0.6,neuron Brick-0.7,neuron Brick-0.8,neuron Brick-0.9,neuron Brick-0.10,neuron Brick-0.11,neuron Brick-0.12,neuron Brick-0.13,neuron Brick-0.14,neuron Brick-0.15,neuron Brick-0.16,neuron Brick-0.17,neuron Brick-0.18,neuron Brick-0.19,neuron Brick-0.20,neuron Brick-0.21,neuron Brick-0.22,neuron Brick-0.23,neuron Brick-0.24,neuron Brick-0.25,neuron Brick-0.26,neuron Brick-0.27,neuron Brick-0.28,neuron Brick-0.29,neuron Brick-0.30,neuron Brick-0.31,neuron Brick-0.32,neuron Brick-0.33,neuron Brick-0.34,neuron Brick-0.35,neuron Brick-0.36,neuron Brick-0.37,neuron Brick-0.38,neuron Brick-0.39,neuron Brick-0.40,neuron Brick-0.41,neuron Brick-0.42,neuron Brick-0.43,neuron Brick-0.44,neuron Brick-0.45,neuron Brick-0.46,neuron Brick-0.47,neuron Brick-0.48,neuron Brick-0.49,neuron Brick-0.50,neuron Brick-0.51,neuron Brick-0.52,neuron Brick-0.53,neuron Brick-0.54,neuron Brick-0.55,neuron Brick-0.56,neuron Brick-0.57,neuron Brick-0.58,neuron Brick-0.59,neuron Brick-0.60,neuron Brick-0.61,neuron Brick-0.62,neuron Brick-0.63,neuron Brick-0.64,neuron Brick-0.65,neuron Brick-0.66,neuron Brick-0.67,neuron Brick-0.68,neuron Brick-0.69,neuron Brick-0.70,neuron Brick-0.71,neuron Brick-0.72,neuron Brick-0.73,neuron Brick-0.74,neuron Brick-0.75,neuron Brick-0.76,neuron Brick-0.77,neuron Brick-0.78,neuron Brick-0.79,neuron Brick-0.80,neuron Brick-0.81,neuron Brick-0.82,neuron Brick-0.83,neuron Brick-0.84,neuron Brick-0.85,neuron Brick-0.86,neuron Brick-0.87,neuron Brick-0.88,neuron Brick-0.89,neuron Brick-0.90,neuron Brick-0.91,neuron Brick-0.92,neuron Brick-0.93,neuron Brick-0.94,neuron Brick-0.95,neuron Brick-0.96,neuron Brick-0.97,neuron Brick-0.98,neuron Brick-0.99,neuron Brick-0.100,neuron Brick-0.101,neuron Brick-0.102,neuron Brick-0.103,neuron Brick-0.104,neuron Brick-0.105,neuron Brick-0.106,neuron Brick-0.107,neuron Brick-0.108,neuron Brick-0.109,neuron Brick-0.110,neuron Brick-0.111,neuron Brick-0.112,neuron Brick-0.113,neuron Brick-0.114,neuron Brick-0.115,neuron Brick-0.116,neuron Brick-0.117,neuron Brick-0.118,neuron Brick-0.119,neuron Brick-0.120,neuron Brick-0.121,neuron Brick-0.122,neuron Brick-0.123,neuron Brick-0.124,neuron Brick-0.125,neuron Brick-0.126,neuron Brick-0.127,neuron Brick-0.128,neuron Brick-0.129,neuron Brick-0.130,neuron Brick-0.131,neuron Brick-0.132,neuron Brick-0.133,neuron Brick-0.134,neuron Brick-0.135,neuron Brick-0.136,neuron Brick-0.137,neuron Brick-0.138,neuron Brick-0.139,neuron Brick-0.140,neuron Brick-0.141,neuron Brick-0.142,neuron Brick-0.143,neuron Brick-0.144,neuron Brick-0.145,neuron Brick-0.146,neuron Brick-0.147,neuron Brick-0.148,neuron Brick-0.149,neuron Brick-0.150,neuron Brick-0.151,neuron Brick-0.152,neuron Brick-0.153,neuron Brick-0.154,neuron Brick-0.155,neuron Brick-0.156,neuron Brick-0.157,neuron Brick-0.158,neuron Brick-0.159,neuron Brick-0.160,neuron Brick-0.161,neuron Brick-0.162,neuron Brick-0.163,neuron Brick-0.164,neuron Brick-0.165,neuron Brick-0.166,neuron Brick-0.167,neuron Brick-0.168,neuron Brick-0.169,neuron Brick-0.170,neuron Brick-0.171,neuron Brick-0.172,neuron Brick-0.173,neuron Brick-0.174,neuron Brick-0.175,neuron Brick-0.176,neuron Brick-0.177,neuron Brick-0.178,neuron Brick-0.179,neuron Brick-0.180,neuron Brick-0.181,neuron Brick-0.182,neuron Brick-0.183,neuron Brick-0.184,neuron Brick-0.185,neuron Brick-0.186,neuron Brick-0.187,neuron Brick-0.188,neuron Brick-0.189,neuron Brick-0.190,neuron Brick-0.191,neuron Brick-0.192,neuron Brick-0.193,neuron Brick-0.194,neuron Brick-0.195,neuron Brick-0.196,neuron Brick-0.197,neuron Brick-0.198,neuron Brick-0.199,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
