neuron,timestep
Brick-1.0,100
Brick-1.1,100
Brick-1.2,100
Brick-1.3,100
Brick-1.4,100
Brick-1.5,100
Brick-1.6,100
Brick-1.7,100
Brick-1.8,100
Brick-1.9,100
Brick-1.10,100
Brick-1.11,100
Brick-1.12,100
Brick-1.13,100
Brick-1.14,100
Brick-1.15,100
Brick-1.16,100
Brick-1.17,100
Brick-1.18,100
Brick-1.19,100
Brick-1.20,100
Brick-1.21,100
Brick-1.22,100
Brick-1.23,100
Brick-1.24,100
Brick-1.25,100
Brick-1.26,100
Brick-1.27,100
Brick-1.28,100
Brick-1.29,100
Brick-1.30,100
Brick-1.31,100
Brick-1.32,100
Brick-1.33,100
Brick-1.34,100
Brick-1.35,100
Brick-1.36,100
Brick-1.37,100
Brick-1.38,100
Brick-1.39,100
Brick-1.40,100
Brick-1.41,100
Brick-1.42,100
Brick-1.43,100
Brick-1.44,100
Brick-1.45,100
Brick-1.46,100
Brick-1.47,100
Brick-1.48,100
Brick-1.49,100
Brick-1.50,100
Brick-1.51,100
Brick-1.52,100
Brick-1.53,100
Brick-1.54,100
Brick-1.55,100
Brick-1.56,100
Brick-1.57,100
Brick-1.58,100
Brick-1.59,100
Brick-1.60,100
Brick-1.61,100
Brick-1.62,100
Brick-1.63,100
Brick-1.64,100
Brick-1.65,100
Brick-1.66,100
Brick-1.67,100
Brick-1.68,100
Brick-1.69,100
Brick-1.70,100
Brick-1.71,100
Brick-1.72,100
Brick-1.73,100
Brick-1.74,100
Brick-1.75,100
Brick-1.76,100
Brick-1.77,100
Brick-1.78,100
Brick-1.79,100
Brick-1.80,100
Brick-1.81,100
Brick-1.82,100
Brick-1.83,100
Brick-1.84,100
Brick-1.85,100
Brick-1.86,100
Brick-1.87,100
Brick-1.88,100
Brick-1.89,100
Brick-1.90,100
Brick-1.91,100
Brick-1.92,100
Brick-1.93,100
Brick-1.94,100
Brick-1.95,100
Brick-1.96,100
Brick-1.97,100
Brick-1.98,100
Brick-1.99,100
Brick-1.100,100
Brick-1.101,100
Brick-1.102,100
Brick-1.103,100
Brick-1.104,100
Brick-1.105,100
Brick-1.106,100
Brick-1.107,100
Brick-1.108,100
Brick-1.109,100
Brick-1.110,100
Brick-1.111,100
Brick-1.112,100
Brick-1.113,100
Brick-1.114,100
Brick-1.115,100
Brick-1.116,100
Brick-1.117,100
Brick-1.118,100
Brick-1.119,100
Brick-1.120,100
Brick-1.121,100
Brick-1.122,100
Brick-1.123,100
Brick-1.124,100
Brick-1.125,100
Brick-1.126,100
Brick-1.127,100
Brick-1.128,100
Brick-1.129,100
Brick-1.130,100
Brick-1.131,100
Brick-1.132,100
Brick-1.133,100
Brick-1.134,100
Brick-1.135,100
Brick-1.136,100
Brick-1.137,100
Brick-1.138,100
Brick-1.139,100
Brick-1.140,100
Brick-1.141,100
Brick-1.142,100
Brick-1.143,100
Brick-1.144,100
